id,name,applicability
"tag_1","Disponibilidades","accounts"
"tag_2","Inversiones temporarias","accounts"
"tag_3","Créditos","accounts"
"tag_4","Inventarios","accounts"
"tag_5","Gastos pagados por adelantado","accounts"
"tag_6","Otros activos","accounts"
"tag_7","Créditos a largo plazo","accounts"
"tag_8","Inventarios a realizar a largo plazo","accounts"
"tag_9","Inversiones a largo plazo","accounts"
"tag_10","Propiedad, planta y equipo","accounts"
"tag_11","Otros activos a largo plazo","accounts"
"tag_12","Cargos diferidos","accounts"
"tag_13","Activos intangibles","accounts"
"tag_14","Acreedores comerciales","accounts"
"tag_15","Deudas financieras","accounts"
"tag_16","Otras cuentas por pagar","accounts"
"tag_17","Provisiones","accounts"
"tag_18","Ingresos diferidos","accounts"
"tag_19","Acreedores comerciales a largo plazo","accounts"
"tag_20","Deudas financieras a largo plazo","accounts"
"tag_21","Otras cuentas por pagar a largo plazo","accounts"
"tag_22","Provisiones para obligaciones a largo plazo","accounts"
"tag_23","Ingresos diferidos a largo plazo","accounts"
"tag_24","Capital","accounts"
"tag_25","Reservas","accounts"
"tag_26","Resultados","accounts"
"tag_27","Ingresos operativos","accounts"
"tag_28","Costos operativos","accounts"
"tag_29","Ingresos por activos biológicos","accounts"
"tag_30","Costo de producción y tenencia de activos biológicos","accounts"
"tag_31","Otros ingresos","accounts"
"tag_32","Gastos comerciales","accounts"
"tag_33","Gastos administrativos","accounts"
"tag_34","Gastos financieros","accounts"
"tag_36","Depreciaciones y amortizaciones","accounts"
"tag_37","Otros resultados no operativos","accounts"
"tag_38","Previsiones","accounts"
"tag_39","Impuesto a la renta","accounts"
"tag_40","Costo de producción y tenencia de activos agrícolas","accounts"
"tag_41","Costo de producción y tenencia de activos ganaderos","accounts"
"tag_42","Costo de producción y tenencia de activos forestales","accounts"
"tag_43","Ingresos por activos agrícolas","accounts"
"tag_44","Ingresos por activos ganaderos","accounts"
"tag_45","Ingresos por activos forestales","accounts"
