id,code,name,user_type_id/id,reconcile,tag_ids/id,chart_template_id/id
"__coapy__1","1.1.1.1","RECAUDACIONES A DEPOSITAR","account.data_account_type_liquidity","False","l10n_py.tag_1","l10n_py.l10npy_chart_template"
"__coapy__2","1.1.1.2","CAJA","account.data_account_type_liquidity","False","l10n_py.tag_1","l10n_py.l10npy_chart_template"
"__coapy__3","1.1.1.3","FONDOS FIJOS","account.data_account_type_liquidity","False","l10n_py.tag_1","l10n_py.l10npy_chart_template"
"__coapy__4","1.1.1.4","BANCOS","account.data_account_type_liquidity","False","l10n_py.tag_1","l10n_py.l10npy_chart_template"
"__coapy__5","1.1.1.5","TRANSFERENCIAS DE EFECTIVO","account.data_account_type_liquidity","True","l10n_py.tag_1","l10n_py.l10npy_chart_template"
"__coapy__6","1.1.2.1","INVERSIONES FINANCIERAS","account.data_account_type_current_assets","False","l10n_py.tag_2","l10n_py.l10npy_chart_template"
"__coapy__7","1.1.2.2","INVERSIONES EN ENTIDADES VINCULADAS","account.data_account_type_current_assets","False","l10n_py.tag_2","l10n_py.l10npy_chart_template"
"__coapy__8","1.1.2.3","OTRAS INVERSIONES","account.data_account_type_current_assets","False","l10n_py.tag_2","l10n_py.l10npy_chart_template"
"__coapy__9","1.1.2.4","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","account.data_account_type_current_assets","False","l10n_py.tag_2","l10n_py.l10npy_chart_template"
"__coapy__10","1.1.3.1","DEUDORES POR VENTAS","account.data_account_type_receivable","True","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__260","1.1.3.100","DEUDORES POR VENTAS (POS)","account.data_account_type_receivable","True","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__20","1.1.3.11","ANTICIPOS A PROVEEDORES LOCALES","account.data_account_type_prepayments","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__21","1.1.3.12","ANTICIPOS A PROVEEDORES DEL EXTERIOR","account.data_account_type_prepayments","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__11","1.1.3.2","DEUDORES POR PRÉSTAMOS","account.data_account_type_receivable","True","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__12","1.1.3.3","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","account.data_account_type_receivable","True","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__13","1.1.3.5","CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS","account.data_account_type_receivable","True","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__15","1.1.3.6","ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA","account.data_account_type_current_assets","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__16","1.1.3.7","RETENCIONES DE IVA","account.data_account_type_current_assets","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__17","1.1.3.8","IVA - CRÉDITO FISCAL","account.data_account_type_current_assets","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__18","1.1.3.9","IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO","account.data_account_type_current_assets","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__22","1.1.3.99","(-) PREVISION PARA CRÉDITOS DE DUDOSO COBRO","account.data_account_type_prepayments","False","l10n_py.tag_3","l10n_py.l10npy_chart_template"
"__coapy__32","1.1.4.1.","PRODUCTOS TERMINADOS","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__33","1.1.4.11","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 10%","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__34","1.1.4.12","PRODUCTOS TERMINADOS GRAVADOS POR EL IVA AL 5%","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__35","1.1.4.13","PRODUCTOS TERMINADOS EXENTOS DEL IVA","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__36","1.1.4.14","PRODUCTOS EN PROCESO","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__37","1.1.4.15","MATERIAS PRIMAS","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__38","1.1.4.16","MATERIALES, SUMINISTROS Y REPUESTOS","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__39","1.1.4.17","PRODUCTOS AGRÍCOLAS","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__40","1.1.4.18","PRODUCTOS FORESTALES","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__41","1.1.4.19","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__24","1.1.4.2","MERCADERÍAS GRAVADAS POR EL IVA AL 10%","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__42","1.1.4.2.","ACTIVOS BIOLÓGICOS EN DESARROLLO","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__43","1.1.4.21","IMPORTACIONES EN CURSO","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__44","1.1.4.22","STOCK ENTRANTE","account.data_account_type_current_assets","True","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__45","1.1.4.23","STOCK SALIENTE","account.data_account_type_current_assets","True","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__25","1.1.4.3","MERCADERÍAS GRAVADAS POR EL IVA AL 5%","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__26","1.1.4.4","MERCADERÍAS EXENTAS DEL IVA","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__27","1.1.4.5","MERCADERÍAS REGÍMENES ESPECIALES","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__28","1.1.4.6","MERCADERÍAS RÉGIMEN DE TURISMO","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__29","1.1.4.7","MERCADERÍAS ZONA FRANCA","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__30","1.1.4.8","MERCADERÍAS RÉGIMEN DE MAQUILA","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__31","1.1.4.9","MERCADERÍAS OTROS REGÍMENES ESPECIALES","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__46","1.1.4.99","(-) PREVISIÓN POR DEVALUACIÓN DE INVENTARIOS","account.data_account_type_current_assets","False","l10n_py.tag_4","l10n_py.l10npy_chart_template"
"__coapy__47","1.1.5.1","ALQUILERES PAGADOS POR ADELANTADO","account.data_account_type_prepayments","False","l10n_py.tag_5","l10n_py.l10npy_chart_template"
"__coapy__48","1.1.5.2","SEGUROS A DEVENGAR","account.data_account_type_current_assets","False","l10n_py.tag_5","l10n_py.l10npy_chart_template"
"__coapy__49","1.2.1.1","DEUDORES POR VENTAS A LARGO PLAZO","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__50","1.2.1.2","DEUDORES POR PRÉSTAMOS A LARGO PLAZO","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__51","1.2.1.3","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__52","1.2.1.4","CUENTAS A COBRAR A SOCIOS O ENTIDADES VINCULADAS","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__53","1.2.1.5","DEUDORES EN GESTIÓN DE COBRO – MOROSOS O SIMILARES","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__54","1.2.1.6","ANTICIPOS A PROVEEDORES","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__55","1.2.1.7","ANTICIPOS A PROVEEDORES LOCALES","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__56","1.2.1.8","ANTICIPOS A PROVEEDORES DEL EXTERIOR","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__57","1.2.1.9","CRÉDITOS POR IMPUESTOS DIFERIDOS","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__58","1.2.1.99","(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","account.data_account_type_non_current_assets","False","l10n_py.tag_7","l10n_py.l10npy_chart_template"
"__coapy__59","1.2.2.1","ACTIVOS BIOLÓGICOS EN PRODUCCIÓN","account.data_account_type_non_current_assets","False","l10n_py.tag_8","l10n_py.l10npy_chart_template"
"__coapy__60","1.2.2.2","ACTIVOS BIOLÓGICOS EN DESARROLLO","account.data_account_type_non_current_assets","False","l10n_py.tag_8","l10n_py.l10npy_chart_template"
"__coapy__61","1.2.2.99","(-) PREVISIÓN POR DEVALUACIÓN DE ACTIVOS BIOLÓGICOS","account.data_account_type_non_current_assets","False","l10n_py.tag_8","l10n_py.l10npy_chart_template"
"__coapy__62","1.2.3.1","INVERSIONES FINANCIERAS","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__63","1.2.3.2","INVERSIONES EN ENTIDADES VINCULADAS","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__64","1.2.3.3","INVERSIONES INMOBILIARIAS","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__65","1.2.3.4","OTRAS INVERSIONES","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__66","1.2.3.5","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__67","1.2.3.99","(-) PREVISIÓN POR DEVALUACIÓN DE INVERSIONES","account.data_account_type_non_current_assets","False","l10n_py.tag_9","l10n_py.l10npy_chart_template"
"__coapy__68","1.2.4.1","INMUEBLES","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__69","1.2.4.2","RODADOS /TRANSPORTES","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__70","1.2.4.3","MUEBLES, ÚTILES Y ENSERES","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__71","1.2.4.4","MAQUINARIAS","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__72","1.2.4.5","EQUIPOS","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__73","1.2.4.6","HERRAMIENTAS","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__74","1.2.4.7","BIENES FUERA DE OPERACIÓN","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__75","1.2.4.8","MEJORAS EN PREDIO AJENO","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__76","1.2.4.97","BIENES INCORPORADOS AL AMPARO DE LA LEY N° 60/90","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__77","1.2.4.98","BIENES EN ARRENDAMIENTO FINANCIERO","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__78","1.2.4.99","(-) DEPRECIACIÓN ACUMULADA","account.data_account_type_fixed_assets","False","l10n_py.tag_10","l10n_py.l10npy_chart_template"
"__coapy__79","1.2.5.1","DERECHOS FIDUCIARIOS","account.data_account_type_non_current_assets","False","l10n_py.tag_11","l10n_py.l10npy_chart_template"
"__coapy__80","1.2.6.1","GASTOS DE CONSTITUCIÓN","account.data_account_type_non_current_assets","False","l10n_py.tag_12","l10n_py.l10npy_chart_template"
"__coapy__81","1.2.6.2","GASTOS DE ORGANIZACIÓN","account.data_account_type_non_current_assets","False","l10n_py.tag_12","l10n_py.l10npy_chart_template"
"__coapy__82","1.2.6.3","GASTOS DE DESARROLLO","account.data_account_type_non_current_assets","False","l10n_py.tag_12","l10n_py.l10npy_chart_template"
"__coapy__83","1.2.6.4","GASTOS DE PROYECTOS DE INVERSIÓN","account.data_account_type_non_current_assets","False","l10n_py.tag_12","l10n_py.l10npy_chart_template"
"__coapy__84","1.2.6.99","(-) AMORTIZACIÓN ACUMULADA","account.data_account_type_non_current_assets","False","l10n_py.tag_12","l10n_py.l10npy_chart_template"
"__coapy__85","1.2.7.1","LICENCIAS, MARCAS Y PATENTES","account.data_account_type_non_current_assets","False","l10n_py.tag_13","l10n_py.l10npy_chart_template"
"__coapy__86","1.2.7.2","FRANQUICIAS","account.data_account_type_non_current_assets","False","l10n_py.tag_13","l10n_py.l10npy_chart_template"
"__coapy__87","1.2.7.99","(-) AMORTIZACIÓN ACUMULADA","account.data_account_type_non_current_assets","False","l10n_py.tag_13","l10n_py.l10npy_chart_template"
"__coapy__219","10.10","SUELDOS Y JORNALES","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__220","10.20","APORTE PATRONAL","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__221","10.30","OTROS BENEFICIOS AL PERSONAL","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__222","10.40","COMISIONES PAGADAS SOBRE VENTAS","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__223","10.50","VIÁTICOS A VENDEDORES","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__224","10.60","PUBLICIDAD Y PROPAGANDA","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__225","10.70","FLETES PAGADOS","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__226","10.99","OTROS GASTOS DE VENTAS","account.data_account_type_expenses","False","l10n_py.tag_32","l10n_py.l10npy_chart_template"
"__coapy__228","11.1","SUELDOS Y JORNALES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__237","11.1.","COMBUSTIBLES Y LUBRICANTES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__238","11.11","REPARACIONES Y MANTENIMIENTOS","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__239","11.12","SEGUROS PAGADOS","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__240","11.13","ÚTILES DE OFICINA","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__241","11.14","GASTOS PAGADOS EN EL EXTERIOR","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__242","11.15","JUICIOS Y GASTOS JUDICIALES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__243","11.16","GASTOS DE COBRANZAS","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__244","11.17","DONACIONES Y CONTRIBUCIONES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__245","11.18","COMISIONES Y GASTOS BANCARIOS OPERACIONALES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__246","11.19","IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__229","11.2","APORTE PATRONAL","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__247","11.2.","MULTAS Y SANCIONES","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__230","11.3","OTROS BENEFICIOS AL PERSONAL","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__231","11.4","REMUNERACIÓN PERSONAL SUPERIOR","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
"__coapy__232","11.5","GASTOS DE REPRESENTACIÓN","account.data_account_type_expenses","False","l10n_py.tag_33","l10n_py.l10npy_chart_template"
