id,code_prefix_start,code_prefix_end,name,chart_template_id/id
"grupo_cuenta_1","1","1","ACTIVO","l10npy_chart_template"
"grupo_cuenta_1_01","1.1","1.1","ACTIVO CORRIENTE","l10npy_chart_template"
"grupo_cuenta_1_01_01","1.1.1","1.1.1","DISPONIBILIDADES","l10npy_chart_template"
"grupo_cuenta_1_01_02","1.1.2","1.1.2","INVERSIONES TEMPORARIAS","l10npy_chart_template"
"grupo_cuenta_1_01_03","1.1.3","1.1.3","CRÉDITOS ","l10npy_chart_template"
"grupo_cuenta_1_01_04","1.1.4","1.1.4","INVENTARIOS ","l10npy_chart_template"
"grupo_cuenta_1_01_05","1.1.5","1.1.5","GASTOS PAGADOS POR ADELANTADO","l10npy_chart_template"
"grupo_cuenta_1_01_06","1.1.6","1.1.6","OTROS ACTIVOS","l10npy_chart_template"
"grupo_cuenta_1_02","1.2","1.2","ACTIVO NO CORRIENTE","l10npy_chart_template"
"grupo_cuenta_1_02_01","1.2.1","1.2.1","CRÉDITOS A LARGO PLAZO ","l10npy_chart_template"
"grupo_cuenta_1_02_02","1.2.2","1.2.2","INVENTARIOS A REALIZAR A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_1_02_03","1.2.3","1.2.3","INVERSIONES A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_1_02_04","1.2.4","1.2.4","PROPIEDAD, PLANTA Y EQUIPO ","l10npy_chart_template"
"grupo_cuenta_1_02_05","1.2.5","1.2.5","OTROS ACTIVOS A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_1_02_06","1.2.6","1.2.6","CARGOS DIFERIDOS ","l10npy_chart_template"
"grupo_cuenta_1_02_07","1.2.7","1.2.7","ACTIVOS INTANGIBLES ","l10npy_chart_template"
"grupo_cuenta_2","2","2","PASIVO ","l10npy_chart_template"
"grupo_cuenta_2_01","2.1","2.1","PASIVO CORRIENTE","l10npy_chart_template"
"grupo_cuenta_2_01_01","2.1.1","2.1.1","ACREEDORES COMERCIALES","l10npy_chart_template"
"grupo_cuenta_2_01_02","2.1.2","2.1.2","DEUDAS FINANCIERAS","l10npy_chart_template"
"grupo_cuenta_2_01_03","2.1.3","2.1.3","OTRAS CUENTAS POR PAGAR","l10npy_chart_template"
"grupo_cuenta_2_01_04","2.1.4","2.1.4","PROVISIONES ","l10npy_chart_template"
"grupo_cuenta_2_01_05","2.1.5","2.1.5","INGRESOS DIFERIDOS","l10npy_chart_template"
"grupo_cuenta_2_02","2.2","2.2","PASIVO  NO CORRIENTE","l10npy_chart_template"
"grupo_cuenta_2_02_01","2.2.1","2.2.1","ACREEDORES COMERCIALES A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_2_02_02","2.2.2","2.2.2","DEUDAS FINANCIERAS A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_2_02_03","2.2.3","2.2.3","OTRAS CUENTAS POR PAGAR A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_2_02_04","2.2.4","2.2.4","PROVISIONES PARA OBLIGACIONES A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_2_02_05","2.2.5","2.2.5","INGRESOS DIFERIDOS A LARGO PLAZO","l10npy_chart_template"
"grupo_cuenta_3","3","3","PATRIMONIO NETO","l10npy_chart_template"
"grupo_cuenta_3_01","3.1","3.1","CAPITAL","l10npy_chart_template"
"grupo_cuenta_3_02","3.2","3.2","RESERVAS","l10npy_chart_template"
"grupo_cuenta_3_03","3.3","3.3","RESULTADOS","l10npy_chart_template"
"grupo_cuenta_4","4","4","INGRESOS OPERATIVOS","l10npy_chart_template"
"grupo_cuenta_5","5","5","COSTOS OPERATIVOS ","l10npy_chart_template"
"grupo_cuenta_8","8","8","OTROS INGRESOS","l10npy_chart_template"
"grupo_cuenta_9","9","9","GANANCIAS (O PÉRDIDAS) BRUTAS TOTALES","l10npy_chart_template"
"grupo_cuenta_10","1.","1.","GASTOS DE VENTAS O COMERCIALIZACIÓN","l10npy_chart_template"
"grupo_cuenta_11","11","11","GASTOS DE ADMINISTRACIÓN","l10npy_chart_template"
"grupo_cuenta_12","12","12","GANANCIAS (O PÉRDIDAS) ANTES DE GASTOS FINANCIEROS  ","l10npy_chart_template"
"grupo_cuenta_13","13","13","GASTOS BANCARIOS Y FINANCIEROS ","l10npy_chart_template"
"grupo_cuenta_14","14","14","PREVISIONES ","l10npy_chart_template"
"grupo_cuenta_15","15","15","DEPRECIACIONES Y AMORTIZACIONES DE ACTIVOS","l10npy_chart_template"
"grupo_cuenta_16","16","16","GANANCIAS (O PÉRDIDAS) OPERATIVAS","l10npy_chart_template"
"grupo_cuenta_17","17","17","OTROS RESULTADOS NO OPERATIVOS","l10npy_chart_template"
"grupo_cuenta_7","7","7","INGRESOS BIOLOGICOS/AGRICOLAS/GANADEROS","l10npy_chart_template"
