IdOperacion,IdMercado,IdTipoOperacion,IdEmisor,IdClaseEmision,IdCasaDeBolsaCompra,IdCasaDeBolsaVenta,Numero,Cantidad,ValorNominal,FechaHora,Observacion,idEliminacion
9737,2,3,228,6,19,19,62204,80,125000,2025-03-25 15:00:00,,
9736,2,3,40,6,21,21,62203,7047,339612,2025-03-07 15:03:00,,
9735,2,3,40,4,21,21,62202,193,339601,2025-03-07 15:02:00,,
9734,2,3,40,6,21,21,62201,1222,339595,2025-03-07 15:00:00,,
9733,2,3,40,4,21,21,62200,2025,339586,2025-03-07 14:58:00,,
9732,2,3,40,6,21,21,62199,2760,310000,2025-03-07 14:53:00,,
9731,2,3,40,4,21,21,62198,540,303000,2025-03-07 14:51:00,,
9730,2,3,40,3,21,21,62197,27,300000,2025-03-07 14:50:00,,
9729,2,3,40,4,21,21,62196,7,250000,2025-03-07 14:48:00,,
9728,2,3,40,4,21,21,62195,1497,335000,2025-03-04 09:26:00,,
9727,2,3,40,4,21,21,62194,1812,335000,2025-03-04 09:25:00,,
9726,2,3,40,4,21,21,62193,1189,335000,2025-03-04 09:12:00,,
9725,2,3,40,4,17,17,62192,151,320000,2025-02-25 14:30:00,,
9724,2,3,228,6,6,6,62191,401,125000,2025-02-21 14:30:00,,
9723,2,3,228,6,6,6,62190,854,130000,2025-02-21 14:30:00,,
9722,2,3,40,4,6,6,62189,1405,305000,2025-02-21 14:30:00,,
